Protein,ProteinDescription,ProteinGene,EV13_SAXN_12mz_10 Sum NormalizedArea,EV14_SAXN_12mz_17 Sum NormalizedArea,EV15_SAXN_12mz_31 Sum NormalizedArea,Total04_HydN_12mz_42 Sum NormalizedArea,Total05_HydN_12mz_38 Sum NormalizedArea,Total06_HydN_12mz_40 Sum NormalizedArea
sp|P25705|ATPA_HUMAN,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",ATP5F1A,3798031890.80,3615443263.52,3549156031.68,1670672238.21,1406219320.90,2174514539.20
tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3OR16-9 PE=1 SV=1,IGHV3OR16-9,261928569.00,236983866.87,220298612.09,1434797497.11,1388436961.38,1496145821.29
sp|A0A075B6I9|LV746_HUMAN,Immunoglobulin lambda variable 7-46 OS=Homo sapiens OX=9606 GN=IGLV7-46 PE=3 SV=4,IGLV7-46,178545086.70,161806998.39,168440770.77,1368275121.29,1368754252.40,1403144335.28
tr|A0A075B7D0|A0A075B7D0_HUMAN,Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV1OR15-1 PE=1 SV=1,IGHV1OR15-1,109072554.17,85473490.22,73601278.14,1241322797.91,1364591599.67,1293568613.45
sp|A0A0C4DH25|KVD20_HUMAN,Immunoglobulin kappa variable 3D-20 OS=Homo sapiens OX=9606 GN=IGKV3D-20 PE=3 SV=1,IGKV3D-20,267561065.24,282371730.28,260661864.90,1435688168.02,1333710979.12,1476753310.35
sp|P01764|HV323_HUMAN,Immunoglobulin heavy variable 3-23 OS=Homo sapiens OX=9606 GN=IGHV3-23 PE=1 SV=2,IGHV3-23,324943046.99,306263235.81,319752916.26,1515664633.55,1318081419.65,1577266398.56
sp|P02748|CO9_HUMAN,Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2,C9,8640686840.65,7850581918.06,7724268965.08,1311234283.68,1260913899.01,1381526377.38
sp|P04211|LV743_HUMAN,Immunoglobulin lambda variable 7-43 OS=Homo sapiens OX=9606 GN=IGLV7-43 PE=3 SV=2,IGLV7-43,148134869.19,136063744.93,141853754.79,1235336471.23,1230599950.48,1266773231.94
sp|P27169|PON1_HUMAN,Serum paraoxonase/arylesterase 1 OS=Homo sapiens OX=9606 GN=PON1 PE=1 SV=3,PON1,9669674424.24,9211741421.98,9237088864.52,1355368632.37,1212826858.46,1320278096.76
sp|P02750|A2GL_HUMAN,Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2,LRG1,39930076.50,63149309.40,53393805.27,1162108658.50,1173755364.48,1265690005.88
sp|P07225|PROS_HUMAN,Vitamin K-dependent protein S OS=Homo sapiens OX=9606 GN=PROS1 PE=1 SV=1,PROS1,28197769410.41,27920363534.73,27959097401.57,1160686249.10,1165488008.86,1177918237.65
sp|Q68D51|DEN2C_HUMAN,DENN domain-containing protein 2C OS=Homo sapiens OX=9606 GN=DENND2C PE=1 SV=2,DENND2C,42883600.80,37728787.60,35151960.25,1039129799.46,1120573183.32,16598292.09
sp|P35858|ALS_HUMAN,Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens OX=9606 GN=IGFALS PE=1 SV=1,IGFALS,337051890.07,300567596.18,303318176.06,1193623825.26,1118339691.63,1224459546.12
sp|P07358|CO8B_HUMAN,Complement component C8 beta chain OS=Homo sapiens OX=9606 GN=C8B PE=1 SV=3,C8B,204697315.01,212068655.36,190135159.06,1127124260.71,1104899691.02,1192805802.12
sp|A0AVT1|UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,UBA6,45370255.16,50407602.96,48024751.32,1033341621.61,1087746426.61,1154522805.88
sp|A0A0J9YVY3|HV741_HUMAN,Immunoglobulin heavy variable 7-4-1 OS=Homo sapiens OX=9606 GN=IGHV7-4-1 PE=3 SV=1,IGHV7-4-1,281595868.01,247484639.91,279027652.08,1186935602.44,1082334437.06,1343069438.17
sp|P01766|HV313_HUMAN,Immunoglobulin heavy variable 3-13 OS=Homo sapiens OX=9606 GN=IGHV3-13 PE=1 SV=2,IGHV3-13,219947325.56,201898401.81,198433155.79,1202840409.58,1081814861.21,1212384705.60
sp|P18206|VINC_HUMAN,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,VCL,22716111041.68,20860806537.32,20855762818.05,1154955757.40,1060957919.15,1147156966.59
sp|P06310|KV230_HUMAN,Immunoglobulin kappa variable 2-30 OS=Homo sapiens OX=9606 GN=IGKV2-30 PE=3 SV=2,IGKV2-30,450860368.48,352140091.63,378227566.13,1167199606.02,1041484342.65,1269005725.57
sp|Q9Y3Q8|T22D4_HUMAN,TSC22 domain family protein 4 OS=Homo sapiens OX=9606 GN=TSC22D4 PE=1 SV=2,TSC22D4,37547771.94,39481047.48,40772883.93,92233336.67,1024778750.59,893214357.47
sp|P0DP04|HV43D_HUMAN,Immunoglobulin heavy variable 3-43D OS=Homo sapiens OX=9606 GN=IGHV3-43D PE=3 SV=1,IGHV3-43D,205111545.06,186181560.92,180694353.49,1157333454.14,1011926704.83,1171115140.10
sp|O14791|APOL1_HUMAN,Apolipoprotein L1 OS=Homo sapiens OX=9606 GN=APOL1 PE=1 SV=5,APOL1,420634038.94,433385973.72,440310342.94,1013277767.83,1008345639.51,1062208763.32
tr|A0A075B7B8|A0A075B7B8_HUMAN,Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3OR16-12 PE=1 SV=1,IGHV3OR16-12,342687225.87,334857509.65,346565914.84,1102143328.71,979799503.34,1165443837.41
sp|P07357|CO8A_HUMAN,Complement component C8 alpha chain OS=Homo sapiens OX=9606 GN=C8A PE=1 SV=2,C8A,246622978.91,216797517.51,204036621.75,986758449.43,978970323.87,1056245799.59
sp|A0A0B4J1X8|HV343_HUMAN,Immunoglobulin heavy variable 3-43 OS=Homo sapiens OX=9606 GN=IGHV3-43 PE=3 SV=1,IGHV3-43,231193790.15,209696594.46,197144363.64,1071500728.26,960339117.42,1076680425.19
sp|P10645|CMGA_HUMAN,Chromogranin-A OS=Homo sapiens OX=9606 GN=CHGA PE=1 SV=7,CHGA,61500754.80,46163862.33,54448016.96,89987522.31,926140291.58,783669681.51
sp|P01782|HV309_HUMAN,Immunoglobulin heavy variable 3-9 OS=Homo sapiens OX=9606 GN=IGHV3-9 PE=1 SV=2,IGHV3-9,203079348.93,183775466.55,178679010.48,1062143119.02,921081277.85,1073043791.04
sp|P55160|NCKPL_HUMAN,Nck-associated protein 1-like OS=Homo sapiens OX=9606 GN=NCKAP1L PE=1 SV=3,NCKAP1L,121120924.57,109101865.82,114262885.34,791298975.04,916634506.62,973817846.72
sp|P04275|VWF_HUMAN,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,VWF,8893623012.27,8305103986.80,8391454324.76,799836688.59,887729202.51,875093673.52
sp|P01591|IGJ_HUMAN,Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4,JCHAIN,284836673.25,278957170.90,293084912.08,896386812.60,886233653.27,964028084.43
sp|P36955|PEDF_HUMAN,Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4,SERPINF1,166206091.03,147740316.47,149343072.71,872161587.85,849869055.23,903730345.60
sp|P02776|PLF4_HUMAN,Platelet factor 4 OS=Homo sapiens OX=9606 GN=PF4 PE=1 SV=2,PF4,17525571797.46,15612196424.38,14144733101.93,839342690.42,848507540.41,903729630.24
sp|P22792|CPN2_HUMAN,Carboxypeptidase N subunit 2 OS=Homo sapiens OX=9606 GN=CPN2 PE=1 SV=3,CPN2,3095576026.70,2856185495.45,2739884857.20,888063665.98,832271389.57,860875436.99
sp|P06681|CO2_HUMAN,Complement C2 OS=Homo sapiens OX=9606 GN=C2 PE=1 SV=2,C2,68957960.63,53336973.05,54275762.18,861112262.61,813951787.76,866715123.22
sp|P00742|FA10_HUMAN,Coagulation factor X OS=Homo sapiens OX=9606 GN=F10 PE=1 SV=2,F10,33900728382.79,31771555537.45,31761023524.20,833151307.74,808347139.83,863748804.44
sp|P08514|ITA2B_HUMAN,Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3,ITGA2B,30474879342.80,29048932896.79,28375876337.79,837291155.19,804215489.15,891081720.32
sp|B1ANS9|WDR64_HUMAN,WD repeat-containing protein 64 OS=Homo sapiens OX=9606 GN=WDR64 PE=2 SV=1,WDR64,31944703.08,28698821.68,20918276.46,762589328.60,801644071.16,821402077.74
sp|A2RUS2|DEND3_HUMAN,DENN domain-containing protein 3 OS=Homo sapiens OX=9606 GN=DENND3 PE=1 SV=2,DENND3,71339543.10,64820165.76,60936939.23,1048334390.44,797630004.96,1184522051.98
sp|P49368|TCPG_HUMAN,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,CCT3,842030879.74,768976633.37,776124529.56,844243468.48,762294699.24,882400007.99
sp|O00159|MYO1C_HUMAN,Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,MYO1C,231121543.03,202699037.50,195717496.99,334517563.96,745685945.38,748177024.85
sp|P60660|MYL6_HUMAN,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,MYL6,9150945229.54,9240680901.42,9400468637.79,666963517.59,739738257.05,759521779.64
sp|P51884|LUM_HUMAN,Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2,LUM,15681704549.86,13948515670.99,14822276461.66,712168717.47,724441071.62,705746751.72
sp|P29622|KAIN_HUMAN,Kallistatin OS=Homo sapiens OX=9606 GN=SERPINA4 PE=1 SV=3,SERPINA4,193461111.25,174328720.02,431107464.56,761245758.87,710715423.02,774645467.74
sp|P07360|CO8G_HUMAN,Complement component C8 gamma chain OS=Homo sapiens OX=9606 GN=C8G PE=1 SV=3,C8G,137417367.48,127860933.94,128354650.51,692982094.70,705281310.84,717362150.71
sp|P00488|F13A_HUMAN,Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=5,F13A1,9188028664.94,8565475490.81,8184091114.43,725364273.03,655521227.43,725539449.00
sp|P01714|LV319_HUMAN,Immunoglobulin lambda variable 3-19 OS=Homo sapiens OX=9606 GN=IGLV3-19 PE=1 SV=2,IGLV3-19,95787560.15,85181272.57,89037332.18,655664287.73,649165265.26,740571073.37
sp|Q9UPN3|MACF1_HUMAN,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4",MACF1,339545202.35,300156126.62,306460443.35,505605274.24,646026233.72,850021441.63
sp|Q06187|BTK_HUMAN,Tyrosine-protein kinase BTK OS=Homo sapiens OX=9606 GN=BTK PE=1 SV=3,BTK,313747275.69,280791437.63,289338898.61,627049610.44,636016944.88,657497021.25
sp|P80108|PHLD_HUMAN,Phosphatidylinositol-glycan-specific phospholipase D OS=Homo sapiens OX=9606 GN=GPLD1 PE=1 SV=3,GPLD1,548187621.69,526909651.16,560153703.40,704560814.12,632072567.46,702127508.53
sp|Q9Y4G6|TLN2_HUMAN,Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4,TLN2,11381328825.22,10702348906.97,10285995100.92,633442348.15,629601765.21,664823645.91
sp|P50990|TCPQ_HUMAN,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,CCT8,827901630.73,771507844.08,779675846.79,510829972.56,627473850.52,633593355.67
tr|A0A075B7E8|A0A075B7E8_HUMAN,Immunoglobulin heavy variable 3/OR16-13 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3OR16-13 PE=1 SV=1,IGHV3OR16-13,225515647.14,219805602.63,227469463.33,707486978.72,624863141.60,764548043.73
sp|A0A0A0MS15|HV349_HUMAN,Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1,IGHV3-49,88317232.58,79105427.25,76982461.60,676570965.90,622495728.08,669242491.73
sp|Q9NX20|RM16_HUMAN,"39S ribosomal protein L16, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL16 PE=1 SV=1",MRPL16,5799959.68,2655041.89,2469957.78,284076111.88,611675471.83,205464843.55
sp|P12814|ACTN1_HUMAN,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,ACTN1,23055667454.28,21487353819.75,21527899657.91,609830380.17,610716267.46,625691537.12
sp|Q9H4B7|TBB1_HUMAN,Tubulin beta-1 chain OS=Homo sapiens OX=9606 GN=TUBB1 PE=1 SV=1,TUBB1,22654874695.72,22850033521.09,21669792402.98,599824244.26,601104462.04,632940433.08
sp|Q92619|HMHA1_HUMAN,Rho GTPase-activating protein 45 OS=Homo sapiens OX=9606 GN=ARHGAP45 PE=1 SV=2,ARHGAP45,618443445.36,596559979.10,591208631.82,45129457.55,591114831.23,42672827.74
sp|P30519|HMOX2_HUMAN,Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2,HMOX2,20078203.69,17109385.05,15454681.63,556143010.03,589756899.96,545615186.36
sp|P01614|KVD40_HUMAN / sp|A0A087WW87|KV240_HUMAN,"Immunoglobulin kappa variable 2D-40 OS=Homo sapiens OX=9606 GN=IGKV2D-40 PE=1 SV=2
Immunoglobulin kappa variable 2-40 OS=Homo sapiens OX=9606 GN=IGKV2-40 PE=3 SV=2",IGKV2D-40 / IGKV2-40,476000768.02,399366990.51,414624936.67,686118414.11,578556466.56,655150582.01
sp|O75882|ATRN_HUMAN,Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2,ATRN,46443301.86,39969909.42,42423337.85,599340248.38,576766378.53,619520240.94
sp|P04264|K2C1_HUMAN,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",KRT1,324296033.78,43308502.40,58038774.87,352461932.03,573452238.87,614082455.23
sp|P07437|TBB5_HUMAN,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,TUBB,21295813944.49,19711554726.91,19699745978.51,565343248.80,571248365.62,583529056.57
sp|P12259|FA5_HUMAN,Coagulation factor V OS=Homo sapiens OX=9606 GN=F5 PE=1 SV=4,F5,19340686105.26,17916752626.53,18083753938.52,585550827.59,568302757.01,589181487.31
sp|Q6Q0C1|S2547_HUMAN,Solute carrier family 25 member 47 OS=Homo sapiens OX=9606 GN=SLC25A47 PE=2 SV=1,SLC25A47,6486055.24,4729932.85,3180286.43,514053478.66,558591670.31,418821540.83
sp|P68371|TBB4B_HUMAN,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,TUBB4B,21102077268.88,19539104978.94,19607312017.93,555199461.07,556742508.20,563349035.00
sp|A0A075B6S2|KVD29_HUMAN / sp|A0A0A0MRZ7|KVD26_HUMAN / sp|A2NJV5|KV229_HUMAN,"Immunoglobulin kappa variable 2D-29 OS=Homo sapiens OX=9606 GN=IGKV2D-29 PE=3 SV=1
Immunoglobulin kappa variable 2D-26 OS=Homo sapiens OX=9606 GN=IGKV2D-26 PE=3 SV=1
Immunoglobulin kappa variable 2-29 OS=Homo sapiens OX=9606 GN=IGKV2-29 PE=3 SV=2",IGKV2D-29 / IGKV2D-26 / IGKV2-29,375200179.68,286778021.12,309536178.80,652416214.73,545160006.07,668600882.92
sp|P10720|PF4V_HUMAN,Platelet factor 4 variant OS=Homo sapiens OX=9606 GN=PF4V1 PE=1 SV=1,PF4V1,12182913013.25,10418149891.22,9383162427.49,542292535.87,542869748.42,580037533.76
sp|O60268|K0513_HUMAN,Uncharacterized protein KIAA0513 OS=Homo sapiens OX=9606 GN=KIAA0513 PE=1 SV=1,KIAA0513,111921144.85,92661017.69,94561539.49,7216859.00,539960257.75,9076540.65
sp|P16109|LYAM3_HUMAN,P-selectin OS=Homo sapiens OX=9606 GN=SELP PE=1 SV=3,SELP,1689468505.75,1526742610.50,1572752426.93,484947252.63,532685725.15,93496728.75
sp|P01602|KV105_HUMAN,Immunoglobulin kappa variable 1-5 OS=Homo sapiens OX=9606 GN=IGKV1-5 PE=1 SV=2,IGKV1-5,222258133.73,219842127.83,232281559.53,610430006.79,532067856.46,613020868.64
sp|P07737|PROF1_HUMAN,Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2,PFN1,9180654000.80,8259434337.18,8006405689.37,597195645.52,528742247.40,602792939.08
sp|P68366|TBA4A_HUMAN,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,TUBA4A,20273853861.46,18256203527.32,18187249610.89,544012079.41,522733830.16,545905891.87
sp|Q92882|OSTF1_HUMAN,Osteoclast-stimulating factor 1 OS=Homo sapiens OX=9606 GN=OSTF1 PE=1 SV=2,OSTF1,101507765.61,93250943.23,89221162.97,586197787.83,513940411.92,593663963.58
sp|Q9Y2X3|NOP58_HUMAN,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,NOP58,89889385.58,65604533.51,53967097.17,420459593.15,498378860.90,402599196.24
sp|P49589|SYCC_HUMAN,"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3",CARS1,27937470.29,27660652.80,25061497.29,435492756.11,487466506.65,465268088.41
sp|O15294|OGT1_HUMAN,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3,OGT,4635971.71,2702115.61,3053933.45,587304194.66,486176718.63,599340734.98
sp|Q14520|HABP2_HUMAN,Hyaluronan-binding protein 2 OS=Homo sapiens OX=9606 GN=HABP2 PE=1 SV=1,HABP2,21636541236.81,20369250828.57,21481374875.81,492496830.05,480603579.84,512966441.86
sp|A0A087WSY6|KVD15_HUMAN,Immunoglobulin kappa variable 3D-15 OS=Homo sapiens OX=9606 GN=IGKV3D-15 PE=3 SV=6,IGKV3D-15,66326692.10,53821190.15,50593311.46,488264732.57,479992617.25,530389524.59
sp|P08185|CBG_HUMAN,Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1,SERPINA6,37797897.30,31203791.73,29200226.98,524041737.45,479073767.27,569041361.17
sp|P05160|F13B_HUMAN,Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3,F13B,71983958.45,76250835.95,74434915.97,487399795.35,471181356.97,516950519.71
sp|A0A0B4J1Y9|HV372_HUMAN,Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1,IGHV3-72,41037577.80,36893072.67,117053535.64,513565422.85,469544421.58,525394910.03
sp|Q9H7P6|MB12B_HUMAN,Multivesicular body subunit 12B OS=Homo sapiens OX=9606 GN=MVB12B PE=1 SV=2,MVB12B,122401374.00,148688078.76,140641347.31,430797744.63,465562727.22,403411333.70
sp|Q86UX7|URP2_HUMAN,Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1,FERMT3,11624836864.07,10849893152.92,11011152785.36,443051073.95,463703049.67,477350258.17
sp|Q16610|ECM1_HUMAN,Extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=ECM1 PE=1 SV=2,ECM1,347342486.10,305734748.05,304302095.91,491844681.12,462506338.34,520161182.70
sp|Q93034|CUL5_HUMAN,Cullin-5 OS=Homo sapiens OX=9606 GN=CUL5 PE=1 SV=4,CUL5,31318460.25,91459101.04,155918710.23,394276366.09,452252207.53,505229053.52
sp|P02745|C1QA_HUMAN,Complement C1q subcomponent subunit A OS=Homo sapiens OX=9606 GN=C1QA PE=1 SV=2,C1QA,88227754.90,86195440.85,82253147.35,469112765.32,447762087.71,495921310.68
sp|P37802|TAGL2_HUMAN,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,TAGLN2,8376194725.14,8430130342.09,8210108766.96,445716162.52,439581911.95,468467857.93
sp|O75636|FCN3_HUMAN,Ficolin-3 OS=Homo sapiens OX=9606 GN=FCN3 PE=1 SV=2,FCN3,47623298.35,40299990.22,39381816.22,424887601.09,438796788.05,488944985.17
sp|Q02985|FHR3_HUMAN,Complement factor H-related protein 3 OS=Homo sapiens OX=9606 GN=CFHR3 PE=1 SV=2,CFHR3,87130552.46,106331755.54,92745514.96,484040942.36,434041265.26,485801045.50
sp|P61224|RAP1B_HUMAN,Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1,RAP1B,8781790059.62,7867244322.37,8105597759.65,441656315.48,431980063.65,454696025.44
sp|P62834|RAP1A_HUMAN,Ras-related protein Rap-1A OS=Homo sapiens OX=9606 GN=RAP1A PE=1 SV=1,RAP1A,8379037973.75,7355123825.66,7684926829.46,437939356.76,428947236.20,450568905.50
sp|P04432|KVD39_HUMAN / sp|P01597|KV139_HUMAN,"Immunoglobulin kappa variable 1D-39 OS=Homo sapiens OX=9606 GN=IGKV1D-39 PE=3 SV=2
Immunoglobulin kappa variable 1-39 OS=Homo sapiens OX=9606 GN=IGKV1-39 PE=1 SV=2",IGKV1D-39 / IGKV1-39,55239477.22,64812567.44,64047025.85,447009706.15,426793959.49,484403458.50
sp|P23142|FBLN1_HUMAN,Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=4,FBLN1,6502168545.91,6127313438.36,6087041589.87,425927630.40,426440375.09,442455430.81
sp|Q14643|ITPR1_HUMAN,"Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens OX=9606 GN=ITPR1 PE=1 SV=3",ITPR1,538302809.04,511554535.88,496432795.44,431161282.68,425925679.38,441894638.98
sp|P36871|PGM1_HUMAN,Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3,PGM1,422378081.34,383201348.05,384509514.42,39586801.53,419594889.80,73642929.41
sp|P22352|GPX3_HUMAN,Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2,GPX3,1213394250.57,1114947905.61,1091381311.73,498662684.00,418751074.66,505886691.89
sp|P28062|PSB8_HUMAN,Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=3,PSMB8,290433718.85,267122894.12,280833238.01,466814735.95,414588602.41,409261572.83
sp|A0A0B4J1V0|HV315_HUMAN,Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=3 SV=1,IGHV3-15,27617070.01,29654375.11,30080495.61,451308862.33,409118901.53,447500475.74
sp|Q96K21|ANCHR_HUMAN,Abscission/NoCut checkpoint regulator OS=Homo sapiens OX=9606 GN=ZFYVE19 PE=1 SV=3,ZFYVE19,37289629.35,10500009.33,18586947.31,237511977.64,408830078.84,944475854.80
sp|A0A0C4DH73|KV112_HUMAN / sp|P01611|KVD12_HUMAN,"Immunoglobulin kappa variable 1-12 OS=Homo sapiens OX=9606 GN=IGKV1-12 PE=3 SV=1
Immunoglobulin kappa variable 1D-12 OS=Homo sapiens OX=9606 GN=IGKV1D-12 PE=1 SV=2",IGKV1-12 / IGKV1D-12,55501552.49,64457390.51,60039364.85,422311467.05,408609030.06,461873443.31
sp|P15169|CBPN_HUMAN,Carboxypeptidase N catalytic chain OS=Homo sapiens OX=9606 GN=CPN1 PE=1 SV=1,CPN1,878094449.83,773859811.51,766364102.72,420612909.15,407755537.88,452480302.65
sp|Q9ULK2|AT7L1_HUMAN,Ataxin-7-like protein 1 OS=Homo sapiens OX=9606 GN=ATXN7L1 PE=1 SV=3,ATXN7L1,30250098.39,23106229.37,4461669.39,454748253.47,407220362.93,511882135.76
sp|A0A0B4J1V6|HV373_HUMAN,Immunoglobulin heavy variable 3-73 OS=Homo sapiens OX=9606 GN=IGHV3-73 PE=3 SV=1,IGHV3-73,30220201.84,31630703.56,31041313.61,437514884.32,401472406.24,439789767.84
sp|P05106|ITB3_HUMAN,Integrin beta-3 OS=Homo sapiens OX=9606 GN=ITGB3 PE=1 SV=2,ITGB3,18964078615.36,17599748863.68,17872385980.54,426824801.03,398944837.36,441844472.11
sp|A6NNC1|P12LL_HUMAN,Putative POM121-like protein 1-like OS=Homo sapiens OX=9606 PE=5 SV=3,,2607635.19,2388237.32,1377776.54,322379698.71,391379620.59,353801821.04
sp|P06331|HV434_HUMAN,Immunoglobulin heavy variable 4-34 OS=Homo sapiens OX=9606 GN=IGHV4-34 PE=1 SV=2,IGHV4-34,110517341.74,116475917.56,127565339.44,437246998.39,388326042.95,464201908.05
sp|Q9BUF5|TBB6_HUMAN,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,TUBB6,13576934133.32,13164370469.05,13081044768.29,370108671.18,383739296.88,384502951.21
sp|Q9NZP8|C1RL_HUMAN,Complement C1r subcomponent-like protein OS=Homo sapiens OX=9606 GN=C1RL PE=1 SV=2,C1RL,325715994.57,320860328.43,324737482.83,369696624.48,382921114.10,295546033.26
sp|Q13509|TBB3_HUMAN,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,TUBB3,14667517274.59,14492127989.49,14199824613.23,374873249.65,382525826.05,369102203.75
sp|P01700|LV147_HUMAN,Immunoglobulin lambda variable 1-47 OS=Homo sapiens OX=9606 GN=IGLV1-47 PE=1 SV=2,IGLV1-47,39381585.20,33226935.41,35091013.90,458574804.61,380898263.02,477049269.17
sp|Q3ZCM7|TBB8_HUMAN,Tubulin beta-8 chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=2,TUBB8,13051180939.98,12209508142.85,12418451179.89,347981873.95,374104984.37,364491295.96
sp|P04406|G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,GAPDH,7156423986.34,6420151858.01,6378292056.12,370012517.53,369844033.19,498599143.07
sp|P02746|C1QB_HUMAN,Complement C1q subcomponent subunit B OS=Homo sapiens OX=9606 GN=C1QB PE=1 SV=3,C1QB,69381783.17,63320965.36,63719187.81,392487110.53,363239779.17,395925684.03
sp|A0A0J9YX35|HV64D_HUMAN,Immunoglobulin heavy variable 3-64D OS=Homo sapiens OX=9606 GN=IGHV3-64D PE=3 SV=1,IGHV3-64D,53565326.59,51934291.15,50869989.55,425241749.62,363133911.03,428023954.84
sp|Q5T5C0|STXB5_HUMAN,Syntaxin-binding protein 5 OS=Homo sapiens OX=9606 GN=STXBP5 PE=1 SV=1,STXBP5,155086369.91,128416245.91,134993981.52,366162948.79,362754622.89,375090444.20
sp|Q14315|FLNC_HUMAN,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,FLNC,7456009506.35,7042933840.37,7265347027.64,354313322.60,358973717.58,383164710.71
sp|A0A075B6K4|LV310_HUMAN,Immunoglobulin lambda variable 3-10 OS=Homo sapiens OX=9606 GN=IGLV3-10 PE=3 SV=2,IGLV3-10,126058223.67,105417767.55,99696391.87,371115866.50,357178275.88,373713149.14
sp|P20851|C4BPB_HUMAN,C4b-binding protein beta chain OS=Homo sapiens OX=9606 GN=C4BPB PE=1 SV=1,C4BPB,7085792031.13,6555462142.49,6667913862.60,343526333.16,350694153.62,360663385.81
